   97.72472       23.90476       6.062630    	25
   97.72472       24.00000       6.050907    	25
   97.72472       24.09524       6.053673    	25
   97.72472       24.19048       6.056867    	25
   97.72472       24.57143       6.213638    	25
   97.72472       24.66667       6.298339    	25
   97.72472       24.76191       6.354305    	25
   97.72472       24.85714       6.357976    	25
   97.72472       24.95238       6.290496    	25
   97.72472       25.04762       6.183630    	25
   97.72472       25.14286       6.103467    	25
   97.72472       25.23810       6.068345    	25
   97.72472       25.33333       6.058484    	25
   97.82023       23.90476       6.095930    	25
   97.82023       24.00000       6.086100    	25
   97.82023       24.09524       6.071157    	25
   97.82023       24.19048       6.061132    	25
   97.82023       24.57143       6.254899    	25
   97.82023       24.66667       6.350278    	25
   97.82023       24.76191       6.398700    	25
   97.82023       24.85714       6.369592    	25
   97.82023       24.95238       6.266399    	25
   97.82023       25.04762       6.140049    	25
   97.82023       25.14286       6.061098    	25
   97.82023       25.23810       6.042127    	25
   97.82023       25.33333       6.047127    	25
   97.91573       24.00000       6.140200    	25
   97.91573       24.09524       6.125492    	25
   97.91573       24.19048       6.106303    	25
   97.91573       24.28572       6.096840    	25
   97.91573       24.38095       6.120929    	25
   97.91573       24.47619       6.185828    	25
   97.91573       24.57143       6.285435    	25
   97.91573       24.66667       6.384226    	25
   97.91573       24.76191       6.408400    	25
   97.91573       24.85714       6.331291    	25
   97.91573       24.95238       6.193126    	25
   97.91573       25.04762       6.070158    	25
   97.91573       25.14286       6.015835    	25
   97.91573       25.23810       6.025296    	25
   97.91573       25.33333       6.053178    	25
   98.01124       24.28572       6.160198    	25
   98.01124       24.38095       6.163308    	25
   98.01124       24.47619       6.199286    	25
   98.01124       24.57143       6.280507    	25
   98.01124       24.66667       6.358301    	25
   98.01124       24.76191       6.360570    	25
   98.01124       24.85714       6.251244    	25
   98.01124       24.95238       6.100766    	25
   98.01124       25.04762       6.006542    	25
   98.01124       25.14286       6.001726    	25
   98.10674       24.28572       6.233265    	25
   98.10674       24.38095       6.214480    	25
   98.10674       24.57143       6.256736    	25
   98.10674       24.66667       6.310345    	25
   98.10674       24.76191       6.277995    	25
   98.10674       24.85714       6.186128    	25
   98.10674       24.95238       6.074924    	25
   98.10674       25.04762       6.017051    	25
   98.10674       25.14286       6.028242    	25
   98.20225       23.80952       6.356325    	25
   98.20225       23.90476       6.403733    	25
   98.20225       24.28572       6.296548    	25
   98.20225       24.57143       6.233950    	25
   98.20225       24.66667       6.244435    	25
   98.20225       24.76191       6.229256    	25
   98.20225       24.85714       6.184731    	25
   98.20225       24.95238       6.111572    	25
   98.20225       25.04762       6.072760    	25
   98.20225       25.33333       6.145753    	25
   98.20225       26.28572       6.165116    	25
   98.20225       26.38095       6.158732    	25
   98.29775       23.80952       6.398067    	25
   98.29775       23.90476       6.454601    	25
   98.29775       24.00000       6.470620    	25
   98.29775       24.19048       6.387477    	25
   98.29775       24.28572       6.336521    	25
   98.29775       24.47619       6.241309    	25
   98.29775       24.57143       6.217105    	25
   98.29775       24.66667       6.215444    	25
   98.29775       24.76191       6.217057    	25
   98.29775       24.85714       6.200728    	25
   98.29775       24.95238       6.155367    	25
   98.29775       25.04762       6.128838    	25
   98.29775       25.23810       6.159447    	25
   98.29775       25.90476       6.108854    	25
   98.29775       26.00000       6.111520    	25
   98.29775       26.28572       6.173115    	25
   98.39326       23.90476       6.449815    	25
   98.39326       24.00000       6.474769    	25
   98.39326       24.09524       6.452908    	25
   98.39326       24.19048       6.409995    	25
   98.39326       24.28572       6.360097    	25
   98.39326       24.57143       6.217962    	25
   98.39326       24.66667       6.217018    	25
   98.39326       24.76191       6.224976    	25
   98.39326       24.85714       6.222416    	25
   98.39326       24.95238       6.193072    	25
   98.39326       25.04762       6.168898    	25
   98.39326       25.14286       6.167722    	25
   98.39326       25.23810       6.181518    	25
   98.39326       25.90476       6.138832    	25
   98.39326       26.00000       6.136174    	25
   98.48876       21.80952       6.362795    	25
   98.48876       21.90476       6.363832    	25
   98.48876       22.66667       6.342220    	25
   98.48876       22.76191       6.337801    	25
   98.48876       24.00000       6.443575    	25
   98.48876       24.09524       6.442634    	25
   98.48876       25.23810       6.195224    	25
   98.48876       25.33333       6.213297    	25
   98.48876       25.80952       6.209822    	25
   98.48876       25.90476       6.200224    	25
   98.48876       26.00000       6.194592    	25
   98.48876       27.52381       6.171372    	25
   98.48876       27.90476       6.264971    	25
   98.48876       28.00000       6.242088    	25
   98.58427       21.80952       6.367761    	25
   98.58427       21.90476       6.367988    	25
   98.58427       22.66667       6.370417    	25
   98.58427       22.76191       6.364644    	25
   98.58427       23.80952       6.371591    	25
   98.58427       24.00000       6.420991    	25
   98.58427       24.09524       6.437263    	25
   98.58427       24.19048       6.418683    	25
   98.58427       24.66667       6.294782    	25
   98.58427       24.76191       6.309581    	25
   98.58427       25.23810       6.193948    	25
   98.58427       25.33333       6.230129    	25
   98.58427       25.61905       6.245357    	25
   98.58427       25.71429       6.254676    	25
   98.58427       25.80952       6.272563    	25
   98.58427       25.90476       6.275800    	25
   98.58427       26.00000       6.272824    	25
   98.58427       27.52381       6.171125    	25
   98.58427       27.90476       6.295241    	25
   98.58427       28.00000       6.270794    	25
   98.67978       22.66667       6.392394    	25
   98.67978       22.76191       6.385338    	25
   98.67978       24.09524       6.427983    	25
   98.67978       24.19048       6.435966    	25
   98.67978       24.66667       6.330726    	25
   98.67978       24.76191       6.350036    	25
   98.67978       25.14286       6.144787    	25
   98.67978       25.23810       6.181043    	25
   98.67978       25.33333       6.244328    	25
   98.67978       26.00000       6.349542    	25
